IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2019,true,Sex,Female,FMLE,Age Group,25-34 years of age,YEARS25-34,,,,,,,5.84,,,,,,5.84,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2019,true,Sex,Both sexes,BTSX,Age Group,25-34 years of age,YEARS25-34,,,,,,,5.84,,,,,,5.84,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,LBR,Liberia,Year,2019,true,Sex,Female,FMLE,Age Group,45-54 years,YEARS45-54,,,,,,,5.84,,,,,,5.84,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,SGP,Singapore,Year,2019,true,Sex,Female,FMLE,Age Group,75-84 years,YEARS75-84,,,,,,,5.84,,,,,,5.84,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2019,true,Sex,Male,MLE,Age Group,35-44 years of age,YEARS35-44,,,,,,,5.85,,,,,,5.85,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2019,true,Sex,Both sexes,BTSX,Age Group,35-44 years of age,YEARS35-44,,,,,,,5.85,,,,,,5.85,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,LBR,Liberia,Year,2019,true,Sex,Both sexes,BTSX,Age Group,35-44 years of age,YEARS35-44,,,,,,,5.86,,,,,,5.86,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,ESP,Spain,Year,2019,true,Sex,Female,FMLE,Age Group,55-64 years,YEARS55-64,,,,,,,5.87,,,,,,5.87,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2019,true,Sex,Female,FMLE,Age Group,45-54 years,YEARS45-54,,,,,,,5.88,,,,,,5.88,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2019,true,Sex,Both sexes,BTSX,Age Group,55-64 years,YEARS55-64,,,,,,,5.88,,,,,,5.88,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,DZA,Algeria,Year,2019,true,Sex,Male,MLE,Age Group,75-84 years,YEARS75-84,,,,,,,5.89,,,,,,5.89,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2019,true,Sex,Female,FMLE,Age Group,35-44 years of age,YEARS35-44,,,,,,,5.89,,,,,,5.89,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,ETH,Ethiopia,Year,2019,true,Sex,Female,FMLE,Age Group,45-54 years,YEARS45-54,,,,,,,5.90,,,,,,5.9,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,TON,Tonga,Year,2019,true,Sex,Male,MLE,Age Group,45-54 years,YEARS45-54,,,,,,,5.90,,,,,,5.9,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Female,FMLE,Age Group,75-84 years,YEARS75-84,,,,,,,5.92,,,,,,5.92,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,TON,Tonga,Year,2019,true,Sex,Both sexes,BTSX,Age Group,15-24 years,YEARS15-24,,,,,,,5.92,,,,,,5.92,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,AUS,Australia,Year,2019,true,Sex,Female,FMLE,Age Group,65-74 years,YEARS65-74,,,,,,,5.93,,,,,,5.93,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2019,true,Sex,Female,FMLE,Age Group,85+ years,YEARS85PLUS,,,,,,,5.93,,,,,,5.93,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2019,true,Sex,Female,FMLE,Age Group,75-84 years,YEARS75-84,,,,,,,5.93,,,,,,5.93,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,ISR,Israel,Year,2019,true,Sex,Female,FMLE,Age Group,75-84 years,YEARS75-84,,,,,,,5.94,,,,,,5.94,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,LVA,Latvia,Year,2019,true,Sex,Female,FMLE,Age Group,35-44 years of age,YEARS35-44,,,,,,,5.94,,,,,,5.94,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,CAN,Canada,Year,2019,true,Sex,Female,FMLE,Age Group,35-44 years of age,YEARS35-44,,,,,,,5.95,,,,,,5.95,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2019,true,Sex,Female,FMLE,Age Group,15-24 years,YEARS15-24,,,,,,,5.95,,,,,,5.95,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,NAM,Namibia,Year,2019,true,Sex,Female,FMLE,Age Group,35-44 years of age,YEARS35-44,,,,,,,5.95,,,,,,5.95,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2019,true,Sex,Both sexes,BTSX,Age Group,35-44 years of age,YEARS35-44,,,,,,,5.95,,,,,,5.95,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,JAM,Jamaica,Year,2019,true,Sex,Male,MLE,Age Group,45-54 years,YEARS45-54,,,,,,,5.96,,,,,,5.96,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2019,true,Sex,Both sexes,BTSX,Age Group,65-74 years,YEARS65-74,,,,,,,5.96,,,,,,5.96,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,CIV,Côte d’Ivoire,Year,2019,true,Sex,Female,FMLE,Age Group,45-54 years,YEARS45-54,,,,,,,5.97,,,,,,5.97,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,CMR,Cameroon,Year,2019,true,Sex,Female,FMLE,Age Group,35-44 years of age,YEARS35-44,,,,,,,5.98,,,,,,5.98,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,BDI,Burundi,Year,2019,true,Sex,Both sexes,BTSX,Age Group,25-34 years of age,YEARS25-34,,,,,,,5.99,,,,,,5.99,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EUR,Europe,Country,DEU,Germany,Year,2019,true,Sex,Both sexes,BTSX,Age Group,15-24 years,YEARS15-24,,,,,,,5.99,,,,,,5.99,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2019,true,Sex,Female,FMLE,Age Group,65-74 years,YEARS65-74,,,,,,,5.99,,,,,,5.99,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2019,true,Sex,Male,MLE,Age Group,35-44 years of age,YEARS35-44,,,,,,,5.99,,,,,,5.99,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,MRT,Mauritania,Year,2019,true,Sex,Male,MLE,Age Group,75-84 years,YEARS75-84,,,,,,,50.12,,,,,,50.12,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,CHN,China,Year,2019,true,Sex,Female,FMLE,Age Group,85+ years,YEARS85PLUS,,,,,,,50.18,,,,,,50.18,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2019,true,Sex,Both sexes,BTSX,Age Group,75-84 years,YEARS75-84,,,,,,,50.18,,,,,,50.18,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,FJI,Fiji,Year,2019,true,Sex,Both sexes,BTSX,Age Group,85+ years,YEARS85PLUS,,,,,,,50.29,,,,,,50.29,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,KIR,Kiribati,Year,2019,true,Sex,Both sexes,BTSX,Age Group,85+ years,YEARS85PLUS,,,,,,,50.30,,,,,,50.3,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2019,true,Sex,Both sexes,BTSX,Age Group,65-74 years,YEARS65-74,,,,,,,50.30,,,,,,50.3,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,MLI,Mali,Year,2019,true,Sex,Male,MLE,Age Group,75-84 years,YEARS75-84,,,,,,,50.36,,,,,,50.36,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2019,true,Sex,Male,MLE,Age Group,35-44 years of age,YEARS35-44,,,,,,,50.43,,,,,,50.43,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,RWA,Rwanda,Year,2019,true,Sex,Male,MLE,Age Group,65-74 years,YEARS65-74,,,,,,,50.46,,,,,,50.46,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AMR,Americas,Country,SUR,Suriname,Year,2019,true,Sex,Both sexes,BTSX,Age Group,55-64 years,YEARS55-64,,,,,,,50.54,,,,,,50.54,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,WPR,Western Pacific,Country,VUT,Vanuatu,Year,2019,true,Sex,Female,FMLE,Age Group,85+ years,YEARS85PLUS,,,,,,,50.60,,,,,,50.6,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,SLE,Sierra Leone,Year,2019,true,Sex,Both sexes,BTSX,Age Group,75-84 years,YEARS75-84,,,,,,,50.64,,,,,,50.64,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,BWA,Botswana,Year,2019,true,Sex,Male,MLE,Age Group,35-44 years of age,YEARS35-44,,,,,,,50.67,,,,,,50.67,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,TGO,Togo,Year,2019,true,Sex,Both sexes,BTSX,Age Group,65-74 years,YEARS65-74,,,,,,,50.79,,,,,,50.79,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,CAF,Central African Republic,Year,2019,true,Sex,Male,MLE,Age Group,85+ years,YEARS85PLUS,,,,,,,507.00,,,,,,507,,,EN,2021-07-06 00:00:00
SDGSUICIDE,Crude suicide rates (per 100 000 population),text,AFR,Africa,Country,TCD,Chad,Year,2019,true,Sex,Both sexes,BTSX,Age Group,65-74 years,YEARS65-74,,,,,,,51.02,,,,,,51.02,,,EN,2021-07-06 00:00:00
